user,date,steps,calories,workout_type
Nath Fleury,2026-03-10,6104.0,473.6740797604264,Strength
Nath Fleury,2026-03-11,4405.0,469.79036040510164,Strength
Nath Fleury,2026-03-12,2935.0,78.79700516001088,Rest
Nath Fleury,2026-03-13,6850.0,363.8155230067397,Strength
Nath Fleury,2026-03-14,8297.0,439.8764579594464,Running
Nath Fleury,2026-03-15,13122.0,430.447758157638,Running
Nath Fleury,2026-03-16,5524.0,372.8868343549606,Strength
Nath Fleury,2026-03-17,9054.0,610.8618196842765,HIIT
Nath Fleury,2026-03-18,13782.0,585.8329106052365,Running
Nath Fleury,2026-03-19,7271.0,527.9457083266157,HIIT
Nath Fleury,2026-03-20,9830.0,430.5460271046699,Running
Nath Fleury,2026-03-21,780.0,89.78777638648504,Rest
Nath Fleury,2026-03-22,1035.0,64.50389327846688,Rest
Nath Fleury,2026-03-23,4836.0,341.0883004772776,Strength
Nath Fleury,2026-03-24,2122.0,341.0883004772776,Yoga
Nath Fleury,2026-03-25,10288.0,386.43785520229517,Running
Nath Fleury,2026-03-26,715.0,51.85085067577059,Rest
Nath Fleury,2026-03-27,4077.0,343.0057764643929,Strength
Nath Fleury,2026-03-28,12352.0,469.36654300357173,Running
Nath Fleury,2026-03-29,7808.0,572.082644472476,HIIT
Nath Fleury,2026-03-30,2368.0,41.00962642837586,Rest
Nath Fleury,2026-03-31,4016.0,329.5857022474266,Strength
Nath Fleury,2026-04-01,5098.0,480.0972852870111,Strength
Nath Fleury,2026-04-02,8509.0,449.60533160243466,Running
Nath Fleury,2026-04-03,4569.0,349.24669652912365,Strength
Nath Fleury,2026-04-04,6709.0,410.6706472392315,Strength
Nath Fleury,2026-04-05,9244.0,457.8962205102322,Running
Nath Fleury,2026-04-06,4627.0,240.0116770508283,Yoga
Nath Fleury,2026-04-07,6409.0,341.0883004772776,HIIT
Nath Fleury,2026-04-08,1673.0,102.00525450882276,Rest
Nath Fleury,2026-04-09,12067.0,550.7600616223372,Running
Nath Fleury,2026-04-10,5420.0,383.2208331557043,Strength
Nath Fleury,2026-04-11,10199.0,391.90375405154396,Running
Nath Fleury,2026-04-12,2742.0,341.0883004772776,Yoga
Nath Fleury,2026-04-13,9025.0,461.9273156278966,Running
Nath Fleury,2026-04-14,8146.0,387.35342451102065,HIIT
Nath Fleury,2026-04-15,2180.0,212.1866754924435,Yoga
Nath Fleury,2026-04-16,2596.0,204.08457611768935,Yoga
Nath Fleury,2026-04-17,4474.0,250.8976463211076,Yoga
Nath Fleury,2026-04-18,5420.0,43.110825819983305,Rest
Nath Fleury,2026-04-19,2742.0,76.46071516249705,Yoga
Nath Fleury,2026-04-20,5420.0,234.4225637877658,Yoga
Nath Fleury,2026-04-21,5420.0,519.1922389433279,Running
Nath Fleury,2026-04-22,8440.0,480.30099233974397,Running
Nath Fleury,2026-04-23,11386.0,445.4300281378301,Running
Nath Fleury,2026-04-24,4660.0,189.21099400997696,Yoga
Nath Fleury,2026-04-25,2181.0,73.44668913884642,Rest
Nath Fleury,2026-04-26,7139.0,388.39527771399867,HIIT
Nath Fleury,2026-04-27,2574.0,89.9396713486516,Rest
Nath Fleury,2026-04-28,13273.0,494.64281286333744,Running
Nath Fleury,2026-04-29,5272.0,233.63113324911245,Strength
