user,age,goal,city,date,steps,calories,workout_type,source
Hortense Dupont,44,weight_loss,Ledoux,2026-05-07,2935.0,99.75364376368337,Rest,app_mobile
Hortense Dupont,44,weight_loss,Ledoux,2026-05-08,2569.0,85.83377083855649,Rest,app_mobile
Hortense Dupont,44,weight_loss,Ledoux,2026-05-09,6158.0,357.27190604327393,Strength,app_mobile
Hortense Dupont,44,weight_loss,Ledoux,2026-05-10,2779.0,102.94105378019353,Rest,app_mobile
Hortense Dupont,44,weight_loss,Ledoux,2026-05-11,7012.0,574.9635287436024,HIIT,app_mobile
Hortense Dupont,44,weight_loss,Ledoux,2026-05-12,8186.0,553.9251829393093,HIIT,app_mobile
Hortense Dupont,44,weight_loss,Ledoux,2026-05-13,10787.0,381.6277204665299,Running,app_mobile
Hortense Dupont,44,weight_loss,Ledoux,2026-05-14,1411.0,92.1417342681404,Rest,app_mobile
Hortense Dupont,44,weight_loss,Ledoux,2026-05-15,2822.0,60.35829587486177,Rest,app_mobile
Hortense Dupont,44,weight_loss,Ledoux,2026-05-16,6467.0,335.9341903333756,Strength,app_mobile
Hortense Dupont,44,weight_loss,Ledoux,2026-05-17,8887.0,,HIIT,app_mobile
Hortense Dupont,44,weight_loss,Ledoux,2026-05-18,10683.0,486.0042386164649,Running,app_mobile
Hortense Dupont,44,weight_loss,Ledoux,2026-05-19,4384.0,303.01524517361713,Strength,app_mobile
Hortense Dupont,44,weight_loss,Ledoux,2026-05-20,10487.0,449.13224183678193,Running,app_mobile
Hortense Dupont,44,weight_loss,Ledoux,2026-05-21,4424.0,,Yoga,app_mobile
Hortense Dupont,44,weight_loss,Ledoux,2026-05-22,4445.0,146.94717993450496,Yoga,app_mobile
Hortense Dupont,44,weight_loss,Ledoux,2026-05-23,3926.0,207.53519970015327,Yoga,app_mobile
Hortense Dupont,44,weight_loss,Ledoux,2026-05-24,12617.0,376.81483574377415,Running,app_mobile
Hortense Dupont,44,weight_loss,Ledoux,2026-05-25,12193.0,473.2197415055279,Running,app_mobile
Hortense Dupont,44,weight_loss,Ledoux,2026-05-26,4339.0,259.4525829512676,Strength,app_mobile
Hortense Dupont,44,weight_loss,Ledoux,2026-05-27,5570.0,341.32742393194394,Strength,app_mobile
Hortense Dupont,44,weight_loss,Ledoux,2026-05-28,2014.0,99.50126364367955,Rest,app_mobile
Hortense Dupont,44,weight_loss,Ledoux,2026-05-29,2002.0,120.25565679899238,Rest,app_mobile
Hortense Dupont,44,weight_loss,Ledoux,2026-05-30,2079.0,79.59406579235757,Rest,app_mobile
Hortense Dupont,44,weight_loss,Ledoux,2026-05-31,10946.0,348.2642940190664,Running,app_mobile
Hortense Dupont,44,weight_loss,Ledoux,2026-06-01,1209.0,84.94622465404215,Rest,app_mobile
Hortense Dupont,44,weight_loss,Ledoux,2026-06-02,11022.0,471.22838184103716,Running,app_mobile
Hortense Dupont,44,weight_loss,Ledoux,2026-06-03,8017.0,,Running,app_mobile
